disaron:nom,disaron:collection,disaron:donnees
infographie-2024-1,,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""\""\,\""Fichier\"":\""infographie_congres_mondial_vigne_vin_2024_FRANCAIS.pdf\""},{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""\""\,\""Fichier\"":\""congres_mondial_vigne_vin_2024_Chiffres-clés_Version française_VD.pdf\""}]"
Ana145,ANALYSE,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2021-12-16T16:14:41.941Z\""\,\""Fichier\"":\""CEP_Analyse_n145_ActifAgri. Transformations des emplois et des activitees en agriculture.pdf\""}]"
Ana217,ANALYSE,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2025-06-06T15:54:21.157Z\""\,\""Fichier\"":\""CEP_Analyse_217_Temps-de-travail-et-temps-de-vie-des-exploitants-agricoles.pdf\""}]"
Ana218,ANALYSE,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2025-06-06T15:52:59.462Z\""\,\""Fichier\"":\""CEP_Analyse_218_Les-installés-non-issus-du-milieu-agricole.pdf\""}]"
Ana133,ANALYSE,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2020-02-04T00:00:00.000Z\""\,\""Fichier\"":\""Analyse_1331901v2.pdf\""}]"
Ana145-en,ANALYSE,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2020-11-12T17:42:10.338Z\""\,\""Fichier\"":\""Analyse 1452011_en.pdf\""}]"
Ana185,ANALYSE,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2023-04-14T08:01:23.856Z\""\,\""Fichier\"":\""Analyse_1852304.pdf\""}]"
Ana72,ANALYSE,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2019-03-03T00:00:00.000Z\""\,\""Fichier\"":\""Ana72.pdf\""}]"
Ana166,ANALYSE,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2021-11-23T15:34:14.397Z\""\,\""Fichier\"":\""Analyse_1662105.pdf\""}]"
Ana53,ANALYSE,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2019-03-03T00:00:00.000Z\""\,\""Fichier\"":\""Ana53.pdf\""}]"
Ana104,ANALYSE,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2020-02-04T00:00:00.000Z\""\,\""Fichier\"":\""analyse1041709.pdf\""}]"
Ana150,ANALYSE,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2020-09-28T07:46:52.808Z\""\,\""Fichier\"":\""Analyse_1502006V3.pdf\""}]"
Ana186,ANALYSE,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2023-05-03T12:38:22.657Z\""\,\""Fichier\"":\""Analyse_1862304.pdf\""}]"
Ana203,ANALYSE,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2024-07-09T09:57:25.186Z\""\,\""Fichier\"":\""Analyse_203-2407_Enjeux_et_utilisations_du_service_de_pollinisation_en_France.pdf\""}]"
Ana213,ANALYSE,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2025-05-14T14:11:48.692Z\""\,\""Fichier\"":\""Analyse_213_Les -iles-françaises-dans-les-coopérations-de-recherche-de-l-océan-Indien.pdf\""}]"
Ana63,ANALYSE,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2019-03-03T00:00:00.000Z\""\,\""Fichier\"":\""Ana63.pdf\""}]"
Ana37,ANALYSE,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2019-03-03T00:00:00.000Z\""\,\""Fichier\"":\""Ana37.pdf\""}]"
Ana37-en,ANALYSE,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2020-11-26T16:13:59.782Z\""\,\""Fichier\"":\""Ana37Eng.pdf\""}]"
