disaron:nom,disaron:nom_old,has_html_principal,has_html_secondaire,uid,html_principal,html_secondaire
,Viz7,true,true,834c0fa1-7e7c-4e4a-817c-c0dd8b138d27,"<p><img src=""https://stats.national.agri/agreste-gestion/nxfile/default/1b708d3b-199b-4e07-99c4-2e8c981daafe/files:files/0/file/VizAgreste.JPG"" /></p>
<p><span>Vous &ecirc;tes </span></p>
<p><span>agriculteur, acteur de terrain ou charg&eacute; d'&eacute;tudes, journaliste ou &eacute;tudiant, vous recherchez des donn&eacute;es r&eacute;centes sur l'agriculture fran&ccedil;aise...</span></p>
<p><span>Viz'Agreste vous propose r&eacute;guli&egrave;rement de nouveaux r&eacute;cits.<br /></span></p>
<p><span>Vous trouverez sur Viz'Agreste des donn&eacute;es, des graphiques et des cartes sous une forme nouvelle et attractive de ""visualisation"" racontant chacune une histoire </span><span>issue de l'exploitation du Recensement agricole 2020 </span><span>ou d'autres sources statistiques, telles Pratiques culturales 2019 (Viticulture), 2018 (Arboriculture), 2017 (Grandes cultures) et Pratiques phytosanitaires 2018 (L&eacute;gumes), Fichier mont&eacute;es et descentes - ASP 2020.</span></p>","<p><span>Premiers r&eacute;sultats du Recensement agricole 2020 (2020) : </span></p>
<p><span>&rarr; </span><span>Collection <em>Primeur</em> pour les r&eacute;sultats France, et <em>Etudes</em> pour les publications r&eacute;gionales coordonn&eacute;es</span></p>
<p><span>&rarr; <a href=""https://stats.agriculture.gouv.fr/cartostat/#c=home"">Cartes sous Geoclip</a></span></p>
<p><span>voir aussi en <a title=""page d'accueil d'Agreste"" href=""https://agreste.agriculture.gouv.fr/agreste-web/"" target=""_blank"" rel=""noopener"">page d'accueil d'Agreste</a> en haut &agrave; droite l'ensemble des produits de diffusion du RA 2020.</span></p>"
Pri2211,Pri2211,true,false,235e5080-ed03-4217-9cee-55c2795ba6fd,"<p><img src=""https://stats-pprd.national.agri/disar-gps-rec/nxfile/default/bbc99f2b-855a-4298-9a3d-a25c1ebefd7f/files:files/0/file/bandeau_ra2020_disaron.png"" width=""313"" height=""52"" /></p>
<p><a title=""Vidéo du SSP Agreste visionnable sur la chaîne Youtube de l'Insee"" href=""https://www.youtube.com/embed/watch?v=sn-DC0_clH0&amp;list=PLLfRO44HULrnNM4rqugx_-kpzo7RR8Fgk&amp;index=1"" target=""_blank"" rel=""noopener""><img src=""https://stats.national.agri/agreste-gestion/nxfile/default/6e4116b9-4e8b-4e70-b5af-7fb2621351f6/files:files/0/file/VIDEO_Main-d-oeuvre-2022.jpg"" width=""504"" height=""290"" /></a></p>
<h2 style=""color: #15ab52; padding-left: 30px""><strong>RA2020 en r&eacute;gion :<br /></strong> Main-d'oeuvre et externalisation des travaux</h2>
<ul>
<li><a href=""https://draaf.auvergne-rhone-alpes.agriculture.gouv.fr/publications-r1255.html"" target=""_blank"" rel=""noopener"">Auvergne-Rh&ocirc;ne-Alpes</a></li>
<li><a href=""https://draaf.bourgogne-franche-comte.agriculture.gouv.fr/publications-r624.html"" target=""_blank"" rel=""noopener"">Bourgogne-Franche-Comt&eacute;</a></li>
<li><a href=""https://draaf.bretagne.agriculture.gouv.fr/annee-2022-r703.html"" target=""_blank"" rel=""noopener"">Bretagne</a></li>
<li><a href=""https://draaf.centre-val-de-loire.agriculture.gouv.fr/publications-r284.html"" target=""_blank"" rel=""noopener"">Centre-Val de Loire</a></li>
<li><a href=""https://draaf.corse.agriculture.gouv.fr/ra2020-resultats-definitifs-r331.html"" target=""_blank"" rel=""noopener"">Corse</a></li>
<li><a href=""https://draaf.grand-est.agriculture.gouv.fr/Recensement-agricole-2020,878"" target=""_blank"" rel=""noopener"">Grand-Est</a></li>
<li><a href=""https://draaf.hauts-de-france.agriculture.gouv.fr/les-resultats-du-recensement-agricole-r520.html"" target=""_blank"" rel=""noopener"">Hauts-de-France</a></li>
<li><a href=""https://driaaf.ile-de-france.agriculture.gouv.fr/les-resultats-r598.html"" target=""_blank"" rel=""noopener"">Ile-de-France</a></li>
<li><a href=""https://draaf.normandie.agriculture.gouv.fr/agreste-etudes-r339.html"" target=""_blank"" rel=""noopener"">Normandie</a></li>
<li><a href=""https://draaf.nouvelle-aquitaine.agriculture.rie.gouv.fr/le-recensement-agricole-2020-r361.html"" target=""_blank"" rel=""noopener"">Nouvelle-Aquitaine</a></li>
<li><a href=""https://draaf.occitanie.agriculture.gouv.fr/plus-d-une-exploitation-sur-deux-dirigee-par-au-moins-un-exploitant-senior-a7245.html"" target=""_blank"" rel=""noopener"">Occitanie</a></li>
<li><a href=""https://draaf.pays-de-la-loire.agriculture.gouv.fr/etudes-r427.html"" target=""_blank"" rel=""noopener"">Pays de la Loire</a></li>
<li><a href=""https://draaf.paca.agriculture.gouv.fr/rubrique107"" target=""_blank"" rel=""noopener"">Provence-Alpes-C&ocirc;te d'Azur</a></li>
<li><a href=""https://daaf.guadeloupe.agriculture.gouv.fr/ra2020-resultats-definitifs-r223.html"" target=""_blank"" rel=""noopener"">Guadeloupe</a></li>
<li><a href=""https://daaf.martinique.agriculture.gouv.fr/ra2020-r309.html"" target=""_blank"" rel=""noopener"">Martinique</a></li>
<li><a href=""https://daaf.guyane.agriculture.gouv.fr/recensement-agricole-2020-r166.html"" target=""_blank"" rel=""noopener"">Guyane</a></li>
<li><a href=""https://daaf.reunion.agriculture.gouv.fr/recensement-agricole-2020-r952.htmlesultats-du"" target=""_blank"" rel=""noopener"">La R&eacute;union</a></li>
<li><a href=""https://daaf.mayotte.agriculture.gouv.fr/recensement-agricole-2020-r137.html"" target=""_blank"" rel=""noopener"">Mayotte</a></li>
</ul>",
Chd2404,Chd2404,true,false,60d39ba4-7f5d-4eb4-857a-d368acdf5f40,"<h2><strong><span style=""color: #007f82"">Synth&egrave;se</span></strong></h2>
<p style=""margin-bottom: 0cm; line-height: 100%"" align=""justify""><span>En 2021, dans les industries agroalimentaires (IAA), 2 &eacute;tablissements sur 5 engagent des d&eacute;penses pour prot&eacute;ger l&rsquo;environnement, pour un total de 376 millions d&rsquo;euros, soit 71 millions d&rsquo;euros de plus qu&rsquo;en 20201. Les neuf dixi&egrave;mes de ces d&eacute;penses sont consacr&eacute;es aux investissements, le reste &agrave; des &eacute;tudes.<br /><br />Les investissements sp&eacute;ciques sont majoritaires et repr&eacute;sentent 57 % du total investi. Ils ont pour seul objectif de diminuer ou de supprimer la pollution, tandis que les autres investissements, dits int&eacute;gr&eacute;s, correspondent &agrave; des achats d&rsquo;&eacute;quipements moins polluants. Ces derniers ont doubl&eacute; par rapport &agrave; 2020, pour atteindre d&eacute;sormais 145 millions d&rsquo;euros.<br /><br />Un quart des investissements et &eacute;tudes destin&eacute;s &agrave; prot&eacute;ger l&rsquo;environnement sont r&eacute;alis&eacute;s dans le secteur de la fabrication des produits dits &laquo; autres produits alimentaires &raquo; (sucre, chocolaterie, conserie, plats pr&eacute;par&eacute;s. . . ). Trois autres secteurs sont pr&eacute;pond&eacute;rants : la fabrication de produits laitiers (20 %), la fabrication de boissons (14 %) et latransformation de viande (12 %).<br /><br />En 2021, un tiers des d&eacute;penses d&rsquo;investissement concernent les &eacute;nergies renouvelables ou les &eacute;conomies d&rsquo;&eacute;nergie. Viennent ensuite la gestion de l&rsquo;eau, la limitation des gaz &agrave; effet de serre et la protection de l&rsquo;air. Si 9 &eacute;tablissements sur 10 parmi les plus grands (au moins 1 000 salari&eacute;s) engagent des investissements ou des &eacute;tudes en faveur de l&rsquo;environnement, c&rsquo;est le cas pour moins d&rsquo;1 &eacute;tablissement sur 3 pour les plus petits d&rsquo;entre eux (20 &agrave; 49<br />salari&eacute;s).<br /><br />&Agrave; ces investissements pour prot&eacute;ger l&rsquo;environnement, s&rsquo;ajoutent des d&eacute;penses courantes qui y sont li&eacute;es. Comptabilis&eacute;es tous les trois ans, elles s&rsquo;&eacute;levaient &agrave; 474 millions d&rsquo;euros en 2019, en l&eacute;g&egrave;re baisse par rapport &agrave; 2016. Elles comprennent les d&eacute;penses li&eacute;es aux redevances, au fonctionnement des &eacute;quipements d&eacute;di&eacute;s, au management environnemental, etc.</span></p>
<p style=""margin-bottom: 0cm; line-height: 100%; text-align: center"" align=""justify""><span>&nbsp;</span></p>
<p style=""margin-bottom: 0cm; line-height: 100%"" align=""justify""><span>&nbsp;</span></p>
<table style=""border-collapse: collapse; width: 102.286%; height: 1405px"" border=""1"">
<tbody>
<tr style=""height: 506px"">
<td style=""width: 100%; height: 506px""><img style=""display: block; margin-left: auto; margin-right: auto"" src=""https://stats.national.agri/agreste-gestion/nxfile/default/ac658c91-771c-4364-9ed5-e14234521cef/files:files/2/file/2024_03_19_16_29_49_Test_Antipol_Adobe_Acrobat_Pro_64_bit_.png"" width=""581"" height=""589"" /><br /><img style=""display: block; margin-left: auto; margin-right: auto"" src=""https://stats.national.agri/agreste-gestion/nxfile/default/ac658c91-771c-4364-9ed5-e14234521cef/files:files/4/file/2024_03_19_16_32_34_Window2.png"" width=""588"" height=""775"" /></td>
</tr>
</tbody>
</table>
<p style=""margin-bottom: 0cm; line-height: 100%"" align=""justify"">&nbsp;</p>",
Ana197,Ana197,false,true,5fa97a26-274d-4989-b909-e6d08aeef2b6,,"<p><u>En savoir +</u> :<br /><br /><a class=""moz-txt-link-freetext"" href=""https://agreste.agriculture.gouv.fr/agreste-web/disaron/Ana190/detail/"">https://agreste.agriculture.gouv.fr/agreste-web/disaron/Ana190/detail/</a><a class=""moz-txt-link-freetext"" href=""https://agreste.agriculture.gouv.fr/agreste-web/disaron/NES49-A2/detail/""><br /></a><a class=""moz-txt-link-freetext"" href=""https://agreste.agriculture.gouv.fr/agreste-web/disaron/Ana187/detail/"">https://agreste.agriculture.gouv.fr/agreste-web/disaron/Ana187/detail/</a><a class=""moz-txt-link-freetext"" href=""https://agreste.agriculture.gouv.fr/agreste-web/disaron/NES49-A2/detail/""><br /></a><a class=""moz-txt-link-freetext"" href=""https://agreste.agriculture.gouv.fr/agreste-web/disaron/Ana140/detail/"">https://agreste.agriculture.gouv.fr/agreste-web/disaron/Ana140/detail/</a></p>"
Pri2213,Pri2213,true,true,d66346dd-217e-4f27-a32f-84f212e61b3e,"<p style=""padding-left: 30px"">Ce Primeur pr&eacute;sente les donn&eacute;es d&eacute;finitives des principaux indicateurs du Recensement agricole 2020.</p>
<p style=""padding-left: 30px"">Il remplace le Primeur 2021-05 paru le 10 d&eacute;cembre 2021 en donn&eacute;es provisoires.</p>
<p>&nbsp;</p>
<p style=""padding-left: 30px""><img src=""https://stats-pprd.national.agri/disar-gps-rec/nxfile/default/bbc99f2b-855a-4298-9a3d-a25c1ebefd7f/files:files/0/file/bandeau_ra2020_disaron.png"" width=""313"" height=""52"" /></p>
<p>&nbsp;</p>
<h2 style=""color: #15ab52; padding-left: 30px""><strong>R&eacute;sultats d&eacute;clin&eacute;s en r&eacute;gion</strong></h2>
<p>&nbsp;</p>
<p style=""padding-left: 30px""><a href=""https://draaf.auvergne-rhone-alpes.agriculture.gouv.fr/publications-r1255.html"" target=""_blank"" rel=""noopener"">Auvergne-Rh&ocirc;ne-Alpes</a></p>
<p style=""padding-left: 30px""><a href=""https://draaf.bourgogne-franche-comte.agriculture.gouv.fr/resultats-du-recensement-agricole-2020-r622.html"" target=""_blank"" rel=""noopener"">Bourgogne-Franche-Comt&eacute;</a></p>
<p style=""padding-left: 30px""><a href=""https://draaf.bretagne.agriculture.gouv.fr/annee-2022-r703.html"" target=""_blank"" rel=""noopener"">Bretagne</a></p>
<p style=""padding-left: 30px""><a href=""https://draaf.centre-val-de-loire.agriculture.gouv.fr/publications-r284.html"" target=""_blank"" rel=""noopener"">Centre-Val de Loire</a></p>
<p style=""padding-left: 30px""><a href=""https://draaf.corse.agriculture.gouv.fr/ra2020-resultats-definitifs-r331.html"" target=""_blank"" rel=""noopener"">Corse</a></p>
<p style=""padding-left: 30px""><a href=""https://draaf.grand-est.agriculture.gouv.fr/Recensement-agricole-2020,878"" target=""_blank"" rel=""noopener"">Grand-Est</a></p>
<p style=""padding-left: 30px""><a href=""https://draaf.hauts-de-france.agriculture.gouv.fr/les-resultats-du-recensement-agricole-r520.html"" target=""_blank"" rel=""noopener"">Hauts-de-France</a></p>
<p style=""padding-left: 30px""><a href=""https://driaaf.ile-de-france.agriculture.gouv.fr/les-resultats-r598.html"" target=""_blank"" rel=""noopener"">Ile-de-France</a></p>
<p style=""padding-left: 30px""><a href=""https://draaf.normandie.agriculture.gouv.fr/agreste-etudes-r339.html"" target=""_blank"" rel=""noopener"">Normandie</a></p>
<p style=""padding-left: 30px""><a href=""https://draaf.nouvelle-aquitaine.agriculture.rie.gouv.fr/le-recensement-agricole-2020-r361.html"" target=""_blank"" rel=""noopener"">Nouvelle-Aquitaine</a></p>
<p style=""padding-left: 30px""><a href=""https://draaf.occitanie.agriculture.gouv.fr/plus-d-une-exploitation-sur-deux-dirigee-par-au-moins-un-exploitant-senior-a7245.html"" target=""_blank"" rel=""noopener"">Occitanie</a></p>
<p style=""padding-left: 30px""><a href=""https://draaf.pays-de-la-loire.agriculture.gouv.fr/etudes-r427.html"" target=""_blank"" rel=""noopener"">Pays de la Loire</a></p>
<p style=""padding-left: 30px""><a href=""https://draaf.paca.agriculture.gouv.fr/etudes-par-numero-r107.html"" target=""_blank"" rel=""noopener"">Provence-Alpes-C&ocirc;te d'Azur</a></p>
<p style=""padding-left: 30px""><a href=""https://daaf.guadeloupe.agriculture.gouv.fr/ra2020-resultats-definitifs-r223.html"" target=""_blank"" rel=""noopener"">Guadeloupe</a></p>
<p style=""padding-left: 30px""><a href=""https://daaf.martinique.agriculture.gouv.fr/ra2020-r309.html"" target=""_blank"" rel=""noopener"">Martinique</a></p>
<p style=""padding-left: 30px""><a href=""https://daaf.guyane.agriculture.gouv.fr/recensement-agricole-2020-r166.html"" target=""_blank"" rel=""noopener"">Guyane</a></p>
<p style=""padding-left: 30px""><a href=""https://daaf.reunion.agriculture.gouv.fr/recensement-agricole-2020-r952.htmlesultats-du"" target=""_blank"" rel=""noopener"">La R&eacute;union</a></p>
<p style=""padding-left: 30px""><a href=""https://daaf.mayotte.agriculture.gouv.fr/recensement-agricole-2020-r137.html"" target=""_blank"" rel=""noopener"">Mayotte</a></p>
<p>&nbsp;</p>
<p style=""padding-left: 30px"">&nbsp;</p>","<p><span><span><span>&rarr; <a title=""page d'accueil d'Agreste, voir bloc RA2020 en haut à droite"" href=""https://agreste.agriculture.gouv.fr/agreste-web/accueil/"">Infographies</a> (voir l'espace RA2020 en page d'accueil d'Agreste)<br /></span></span></span></p>
<p><span><span><span>&rarr; <a href=""https://agreste.agriculture.gouv.fr/agreste-web/pages/videos/"">Vid&eacute;os</a><br /></span></span></span></p>
<p><span>&rarr; <a href=""https://stats.agriculture.gouv.fr/cartostat/#c=home"">Cartes sous Geoclip</a></span></p>
<p><span>&rarr; <a href=""https://vizagreste.agriculture.gouv.fr/"">Chiffres cl&eacute;s Viz'Agreste</a></span></p>
<p>&nbsp;</p>
<p><span><span>&rarr; Pour plus de d&eacute;tail sur les enqu&ecirc;tes de la Statistique agricole, voir le site du <a title=""Pour plus de détail sur l'enquête, consulter le site du Cnis"" href=""https://www.cnis.fr/enquetes/?producer=475&amp;post_type=cnis_survey#survey-block"" target=""_blank"" rel=""noopener"">Conseil national de l'information statistique (CNIS)</a></span><br /></span></p>"
Aut010,Aut-010,true,true,631daf49-3357-47c2-8df5-8d9c6e56515f,"<p>&nbsp;</p>
<p><span>&nbsp;<strong><span>&nbsp;Au sommaire</span></strong></span></p>
<table style=""width: 100%; border-collapse: collapse; border-style: none"" border=""0"">
<tbody>
<tr>
<td style=""width: 0.792433%""><a title=""Accéder au pdf intégral de la publication"" href=""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/Aut-010/Iref-Transformation-agriculture-et-consommations-alimentaires.pdf"" target=""_blank"" rel=""noopener""><img src=""https://stats.national.agri/agreste-gestion/nxfile/default/c3862ede-86e5-44f1-9fe6-703107fab7d6/files:files/1/file/Insee-Ref-Vignette.PNG"" /></a></td>
<td style=""width: 44.0599%"">
<p><span>La <a title=""Vue d’ensemble de l'Insee Références Insee Références &quot;Transformations de l'agriculture et des consommations alimentaires&quot;, Edition 2024"" href=""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/Aut-010/Iref-Vue-ensemble-Panorama-Agriculture.pdf"" target=""_blank"" rel=""noopener""><strong><span style=""color: #3333ff"">vue d&rsquo;ensemble</span></strong></a> brosse un portrait &eacute;conomique des secteurs agricole et agroalimentaire. Un encadr&eacute; apporte un nouvel &eacute;clairage sur les revenus et le niveau de vie des m&eacute;nages agricoles. </span></p>
<p><span>Le <a title=""Dossier Concentration Spécialisation de l'Insee Références &quot;Transformations de l'agriculture et des consommations alimentaires&quot;, Edition 2024"" href=""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/Aut-010/Iref-Dossier-1-Concentration-Specialisation.pdf"" target=""_blank"" rel=""noopener""><strong><span style=""color: #3333ff"">premier dossier</span></strong></a> s&rsquo;int&eacute;resse &agrave; la concentration et &agrave; la sp&eacute;cialisation des exploitations agricoles &agrave; l&rsquo;&oelig;uvre depuis 1970. </span></p>
<p><span>Le <a title=""Dossier Résultats Eco Bio de l'Insee Références &quot;Transformations de l'agriculture et des consommations alimentaires&quot;, Edition 2024"" href=""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/Aut-010/Iref-Dossier-2-Resultats-Eco-Bio.pdf"" target=""_blank"" rel=""noopener""><strong><span style=""color: #3333ff"">deuxi&egrave;me</span></strong></a> compare les performances &eacute;conomiques de l&rsquo;agriculture biologique en 2020 avec celles de l&rsquo;agriculture conventionnelle. </span></p>
<p><span>Le <a title=""Dossier Consommations alimentaires de l'Insee Références &quot;Transformations de l'agriculture et des consommations alimentaires&quot;, Edition 2024"" href=""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/Aut-010/Iref-Dossier-3-Conso-alimentaire.pdf"" target=""_blank"" rel=""noopener""><strong><span style=""color: #3333ff"">troisi&egrave;me</span></strong></a> pr&eacute;sente l&rsquo;&eacute;volution de la consommation alimentaire entre 2009 et 2019, analys&eacute;e par famille de produits et selon le niveau de revenu des m&eacute;nages. </span></p>
<p><span>Le <a title=""Dossier Enjeux-environnementaux de l'Insee Références &quot;Transformations de l'agriculture et des consommations alimentaires&quot;, Edition 2024"" href=""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/Aut-010/Iref-Dossier-4-Enjeux-environnementaux.pdf"" target=""_blank"" rel=""noopener""><strong><span style=""color: #3333ff"">quatri&egrave;me dossier</span></strong></a> d&eacute;crit les enjeux environnementaux auxquels l&rsquo;agriculture contribue et doit faire face. </span></p>
<p><span>Les <a title=""Les 27 fiches de l'Insee Références &quot;Transformations de l'agriculture et des consommations alimentaires&quot;, Edition 2024"" href=""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/Aut-010/Iref-Fiches.pdf"" target=""_blank"" rel=""noopener""><strong><span style=""color: #3333ff"">27 fiches</span></strong></a> synth&eacute;tisent les donn&eacute;es statistiques sur l&rsquo;&eacute;conomie des secteur agricole et agroalimentaire, les caract&eacute;ristiques des exploitations agricoles, la consommation alimentaire et les sujets environnementaux. &nbsp; <br /><br /></span></p>
</td>
</tr>
<tr>
<td style=""width: 0.792433%"">&nbsp;</td>
<td style=""width: 44.0599%""><span>Des <a title=""Les infographies de l'Insee Références &quot;Transformations de l'agriculture et des consommations alimentaires&quot;, Edition 2024"" href=""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/Aut-010/Iref-Infographies.pdf"" target=""_blank"" rel=""noopener""><strong><span style=""color: #3333ff"">infographies</span></strong></a> r&eacute;sumant les principaux messages de la vue d&rsquo;ensemble et de ces dossiers sont publi&eacute;es sur <a title=""Acceder à la page de la publication sur insee.fr"" href=""https://www.insee.fr/fr/statistiques/7728897?sommaire=7728903"" target=""_blank"" rel=""noopener"">insee.fr</a><br /></span></td>
</tr>
</tbody>
</table>","<p>&nbsp;</p>
<p><span><span><span>&rarr; <a title=""Primeur numéro 2024 1 La pauvreté monétaire, moins fréquente en présence de non-exploitants"" href=""https://agreste.agriculture.gouv.fr/agreste-web/disaron/Pri2401/detail/"" target=""_blank"" rel=""noopener"">La pauvret&eacute; mon&eacute;taire, moins fr&eacute;quente en pr&eacute;sence de non-exploitants</a></span></span></span><span><span><span>, Primeur, n&deg; 2024-1, f&eacute;vrier 2024 </span></span></span></p>
<p><span><span><span>&rarr; <a title=""Les Dossiers numéro 2024 1 Les performances économiques des exploitations en agriculture biologique en 2020"" href=""https://agreste.agriculture.gouv.fr/agreste-web/disaron/Dos2401/detail/"" target=""_blank"" rel=""noopener"">Les performances &eacute;conomiques des exploitations en agriculture biologique en 2020</a></span></span></span><span><span><span>, Les Dossiers, n&deg; 2024-1, f&eacute;vrier 2024 </span></span></span></p>
<p><span><span><span>&rarr; <a title=""Analyse numéro 199 Concentration et spécialisation en agriculture, à l’aune des recensements agricoles de 1970 à 2020"" href=""https://agreste.agriculture.gouv.fr/agreste-web/disaron/Ana199/detail/"" target=""_blank"" rel=""noopener"">Concentration et sp&eacute;cialisation en agriculture, &agrave; l&rsquo;aune des recensements agricoles de 1970 &agrave; 2020</a>, Analyse, n&deg; 199, f&eacute;vrier 2024 </span></span></span></p>
<p>&nbsp;</p>
<p><span><span><span>&rarr; <a title="" Note presse documentaire, Insee – Les agriculteurs"" href=""https://www.insee.fr/fr/information/7765136"" target=""_blank"" rel=""noopener""> Note presse documentaire, Insee &ndash; Les agriculteurs</a>,&nbsp;Communiqu&eacute;s de presse Insee, 9 f&eacute;vrier 2024<br /></span></span></span></p>
<p>&nbsp;</p>"
,COMPT0004_ARP,true,false,d5ea1181-39f8-45d0-bfe6-1d45f849bc58,"<p><u><strong>Avertissement</strong></u> : les s&eacute;ries 2010-2022 des Comptes r&eacute;gionaux de l'agriculture diffus&eacute;es dans ce tableau interactif sont les s&eacute;ries r&eacute;alis&eacute;es dans l'ancienne base (base 2010).</p>
<p>Les s&eacute;ries r&eacute;alis&eacute;es dans la nouvelle base 2020 sont disponibles en cliquant sur ce lien&nbsp;: <a href=""https://agreste.agriculture.gouv.fr/agreste-web/disaron/REAA-SeriesLongues/detail/"">https://agreste.agriculture.gouv.fr/agreste-web/disaron/REAA-SeriesLongues/detail/</a></p>",
,SAANR_PAILLE_2,true,false,6fa80fcd-d85b-41b4-9e5b-4da157d30ff1,"<p>&nbsp;</p>
<p><u><strong>Avertissement</strong></u> : les s&eacute;ries 2000-2020 de la Statistique agricole annuelle (SAA) diffus&eacute;es dans les tableaux interactifs sont les s&eacute;ries avant mise en coh&eacute;rence avec le recensement agricole (RA) 2020 et r&eacute;tropolation. Les s&eacute;ries mises en coh&eacute;rence avec le RA et r&eacute;tropol&eacute;es &agrave; partir de 2010 sont &agrave; privil&eacute;gier.</p>
<p>Cliquer sur le lien pour retrouver les s&eacute;ries longues &agrave; partir de 2010 : <a href=""https://agreste.agriculture.gouv.fr/agreste-web/disaron/SAA-SeriesLongues/detail/"">https://agreste.agriculture.gouv.fr/agreste-web/disaron/SAA-SeriesLongues/detail/</a></p>",
DOC-CEP16,DOC-CEP16,false,true,503a5fc2-e5df-400b-93fc-3a8b8cfbcfa7,,"<p><u>En savoir + :</u></p>
<p>- <a href=""https://agreste.agriculture.gouv.fr/agreste-web/disaron/Ouv201701/detail/"">https://agreste.agriculture.gouv.fr/agreste-web/disaron/Ouv201701/detail/</a></p>
<p>- <a href=""https://agreste.agriculture.gouv.fr/agreste-web/disaron/Rap2102/detail/"">https://agreste.agriculture.gouv.fr/agreste-web/disaron/Rap2102/detail/</a></p>
<p>- <a href=""https://agreste.agriculture.gouv.fr/agreste-web/disaron/Ana163/detail/"">https://agreste.agriculture.gouv.fr/agreste-web/disaron/Ana163/detail/</a></p>
<p>- <a href=""https://agreste.agriculture.gouv.fr/agreste-web/disaron/Ana165/detail/"">https://agreste.agriculture.gouv.fr/agreste-web/disaron/Ana165/detail/</a></p>
<p>- <a href=""https://agreste.agriculture.gouv.fr/agreste-web/disaron/Ouv201309/detail/"">https://agreste.agriculture.gouv.fr/agreste-web/disaron/Ouv201309/detail/</a></p>"
SynCpr22385,SynCpr22385,true,false,3fbbee87-bcbf-4c94-aa53-00227d489e9a,"<h2><span style=""color: #007f82"">Avertissement</span></h2>
<p><span><span id=""mainform:htmlPrinc"" class=""no-resizable"" title=""htmlPrinc""><strong><span id=""mainform:htmlPrinc"" class=""no-resizable"">Cette version de la synth&egrave;se Intrants agricoles, en date du 04/05, est modifi&eacute;e </span></strong><span id=""mainform:htmlPrinc"" class=""no-resizable"">par rapport &agrave; celle mise en ligne le 25/03 : elle corrige une erreur portant sur le pourcentage d'&eacute;volution </span><span id=""mainform:htmlPrinc"" class=""no-resizable"">entre 2020 et 2021 des fabrications d'aliments pour bovins viande dans l'encadr&eacute; 2 de la page 4.</span></span></span></p>
<p>&nbsp;</p>",
