disaron_nom,nom_fichier,url_fichier
IraFru19133,2019_133inforappoire.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraFru19133/2019_133inforappoire.pdf
IraPri19140,2019_140_Inforapprix.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraPri19140/2019_140_Inforapprix.pdf
IraPri19140,Données_IR_indices_prix.xls,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraPri19140/Données_IR_indices_prix.xls
IraAbo19141,2019_141_InforapBovins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo19141/2019_141_InforapBovins.pdf
IraAbo19142,2019_142_InforapPorcins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo19142/2019_142_InforapPorcins.pdf
IraAbo011,2019_011_InforapBovins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo011/2019_011_InforapBovins.pdf
IraAbo012,2019_012_InforapPorcins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo012/2019_012_InforapPorcins.pdf
IraAbo013,2019_013_Inforapovins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo013/2019_013_Inforapovins.pdf
IraAbo025,2019_025_InforapBovins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo025/2019_025_InforapBovins.pdf
IraAbo026,2019_026_InforapPorcins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo026/2019_026_InforapPorcins.pdf
IraAbo027,2019_027_InforapOvins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo027/2019_027_InforapOvins.pdf
IraAbo034,2019_034_InforapBovinsv2.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo034/2019_034_InforapBovinsv2.pdf
IraAbo035,2019_035_InforapOvinsv2.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo035/2019_035_InforapOvinsv2.pdf
IraAbo036,2019_036_InforapCaprinsv2.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo036/2019_036_InforapCaprinsv2.pdf
IraAbo037,2019_037_InforapPorcins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo037/2019_037_InforapPorcins.pdf
IraAbo040,2019_040_InforapBovins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo040/2019_040_InforapBovins.pdf
IraAbo041,2019_041_InforapPorcins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo041/2019_041_InforapPorcins.pdf
IraAbo042,2019_042_InforapOvins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo042/2019_042_InforapOvins.pdf
IraAbo054,2019_054_InforapBovins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo054/2019_054_InforapBovins.pdf
IraAbo055,2019_055_InforapPorcins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo055/2019_055_InforapPorcins.pdf
IraAbo056,2019_056_InforapOvins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo056/2019_056_InforapOvins.pdf
IraAbo074,2019_074_InforapBovins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo074/2019_074_InforapBovins.pdf
