Disaron_lien_origine,Nom_Disaron,Titre Disaron,Paru le,Annee_1re publication,Publication-Tableau-Carte,Collection Libellé Agreste,Sous-Collection Libellé Agreste,Sous-collection (nom court),Thèmes_CORRIGÉS,Thème CORRIGÉ-1,Thème CORRIGÉ-2,NB-THEM,Pondération,Descripteurs
,IraAvi2583,"Aviculture. En mai, des abattages de volailles soutenus",2025_07,2025,p,Conjoncture – Infos Rapides,Infos Rap - Aviculture,Aviculture,VOLAIL,,,,,
,IraFru2584,Abricot. Hausse confirmée de la production d’abricots en 2025,2025_07,2025,p,Conjoncture – Infos Rapides,Infos Rap - Fruits,Fruits,FRUIT,,,,,ABRICOT
,IraFru2585,Pêche. Baisse confirmée de la production de pêches en 2025 et hausse des prix,2025_07,2025,p,Conjoncture – Infos Rapides,Infos Rap - Fruits,Fruits,FRUIT,,,,,PÊCHE
,IraFru2586,"Cerise. Production en hausse, prix en baisse en 2025",2025_07,2025,p,Conjoncture – Infos Rapides,Infos Rap - Fruits,Fruits,FRUIT,,,,,CERISE
,IraCpr2587,"Coûts de production. Prix des intrants en mai 2025 : - 0,5 % sur un mois, - 1,6 % sur un an",2025_07,2025,p,Conjoncture – Infos Rapides,Infos Rap - Coûts de production,Coûts de production,PRIX,,,,,
,IraLai2588,Lait. La collecte de lait de vache progresse sur un an (Correctif),2025_07,2025,p,Conjoncture – Infos Rapides,Infos Rap - Lait,Lait,LAIT,,,,,
,IraFru2589,"
Pomme. Surfaces et production de pommes attendues en baisse en 2025 ",2025_07,2025,p,Conjoncture – Infos Rapides,Infos Rap - Fruits,Fruits,FRUIT,,,,,
,IraFru2590,Poire. Une production de poires 2025 attendue en baisse après la bonne récolte 2024,2025_07,2025,p,Conjoncture – Infos Rapides,Infos Rap - Fruits,Fruits,FRUIT,,,,,POIRE
,IraGcu2591,"Grandes cultures. Avec des rendements en hausse, la production de céréales à paille rebondit après le point bas de 2024",2025_07,2025,p,Conjoncture – Infos Rapides,Infos Rap - Grandes cultures,Grandes cultures,GC,,,,,
,IraCex2592,"Commerce extérieur agroalimentaire. En mai 2025, la dégradation des échanges avec les pays tiers aboutit à un déficit commercial inédit depuis plus de 25 ans",2025_07,2025,p,Conjoncture – Infos Rapides,Infos Rap - Commerce extérieur,Commerce extérieur,COMEXT,,,,,
,IraPra2593,"Prairies. En juillet 2025, une pousse de l’herbe déficitaire sur une grande partie de la France",2025_07,2025,p,Conjoncture – Infos Rapides,Infos Rap - Prairies,Prairies,FOURRAGE,,,,,
,IraFru2594,"Stocks Pommes-Poires. Fin juin 2025, des stocks de pommes encore hauts et quasi nuls pour la poire en fin de campagne",2025_07,2025,p,Conjoncture – Infos Rapides,Infos Rap - Fruits,Fruits,FRUIT,,,,,STOCK| POMME| POIRE
,IraEng2595,Engrais. Hausse des livraisons d’engrais azotés sur un an sur les 10 premiers mois de la campagne 2024-2025,2025_07,2025,p,Conjoncture – Infos Rapides,Infos Rap - Engrais,Engrais,PROT,,,,,ENGRAIS
,IraFru2596,Fraise. Un niveau de production stable en 2025,2025_07,2025,p,Conjoncture – Infos Rapides,Infos Rap - Fruits,Fruits,FRUIT,,,,,FRAISE
,IraLeg2597,Melon. Une production 2025 attendue en hausse par rapport aux campagnes précédentes,2025_07,2025,p,Conjoncture – Infos Rapides,Infos Rap - Légumes,Légumes,LEGUME,,,,,MELON
,IraVit2598,Viticulture. La production viticole se rétablirait au-dessus des 40 Mhl en 2025,2025_08,2025,p,Conjoncture – Infos Rapides,Infos Rap - Viticulture,Viticulture,VITI,,,,,
,IraGcu2599,"Grandes cultures. En 2025, de bons rendements dynamisent les récoltes de céréales à paille et de colza",2025_08,2025,p,Conjoncture – Infos Rapides,Infos Rap - Grandes cultures,Grandes cultures,GC,,,,,
,IraFru25100,"Abricot. Production en nette hausse sur un an, prix en recul en 2025",2025_08,2025,p,Conjoncture – Infos Rapides,Infos Rap - Fruits,Fruits,FRUIT,,,,,ABRICOT
