A,H,I,K
IraAbo25171,PORC,2025,FRANCE
IraPri25168,PRIX,2025,FRANCE
IraLeg25167,LEGUME,"2025, 2026",FRANCE
IraLai25164,LAIT,2025,FRANCE
IraCex25165,COMEXT,2025,FRANCE
IraCpr25163,PRIX,2025,FRANCE
IraAvi25162,VOLAIL,2025,FRANCE
IraPri25161,PRIX,2025,FRANCE
IraAbo25159,BOVIN,2025,FRANCE
IraLeg25156,LEGUME,2025,FRANCE
IraLeg25157,LEGUME,2024|2025,FRANCE
IraLeg25158,LEGUME,2025,FRANCE
IraAbo25155,CAPOV,2025,FRANCE
IraAla25151,PRAELEV,2025,FRANCE
IraLeg25152,LEGUME,2025,FRANCE
IraCex25150,COMEXT,2025,FRANCE
IraFru25148,FRUIT,2025,FRANCE
IraFru25149,FRUIT,2025,FRANCE
IraGcu25145,GC,2025,FRANCE
IraAbo25140,BOVIN,2025,FRANCE
IraAbo25141,PORC,2025,FRANCE
IraAbo25142,CAPOV,2025,FRANCE
IraLeg25138,LEGUME,2025,FRANCE
IraLeg25139,LEGUME,2025,FRANCE
IraEng25136,PROT,2025,FRANCE
IraPra25135,FOURRAGE,2025,FRANCE
IraLai25133,LAIT,2025,FRANCE
IraGcu25132,GC,2025,FRANCE
IraFru25129,FRUIT,2025,FRANCE
IraFru25130,FRUIT,2025,FRANCE
IraVit25128,VITI,2025,FRANCE
IraPri25126,PRIX,2025,FRANCE
IraLeg25122,LEGUME,2025,FRANCE
IraLeg25124,LEGUME,2025,FRANCE
IraLeg25125,LEGUME,2025,FRANCE
IraAbo25118,BOVIN,2025,FRANCE
IraAbo25120,PORC,2025,FRANCE
IraPra25121,FOURRAGE,2025,FRANCE
IraAbo25119,CAPOV,2025,FRANCE
IraAla25117,PRAELEV,2025,FRANCE
IraCpr25116,PRIX,2025,FRANCE
IraFru25113,FRUIT,2025,FRANCE
IraFru25114,FRUIT,2025,FRANCE
IraLai25112,LAIT,2025,FRANCE
IraCex25111,COMEXT,2025,FRANCE
IraFru25110,FRUIT,2025,FRANCE
IraCex25108,COMEXT,2025,FRANCE
IraVit25109,VITI,2025,FRANCE
IraAvi25107,VOLAIL,2025,FRANCE
IraAbo25102,BOVIN,2025,FRANCE
IraAbo25103,CAPOV,2025,FRANCE
IraAbo25104,PORC,2025,FRANCE
IraPra25105,FOURRAGE,2025,FRANCE
IraPri25106,PRIX,2025,FRANCE
IraFru25100,FRUIT,2025,FRANCE
IraFru25101,FRUIT,2025,FRANCE
IraGcu2599,GC,2025,FRANCE
IraVit2598,VITI,2025,FRANCE
IraFru2596,FRUIT,2025,FRANCE
IraLeg2597,LEGUME,2025,FRANCE
IraEng2595,PROT,2025,FRANCE
IraFru2594,FRUIT,2025,FRANCE
IraPra2593,FOURRAGE,2025,FRANCE
IraFru2590,FRUIT,2025,FRANCE
IraLai2588,LAIT,2025,FRANCE
IraCpr2587,PRIX,2025,FRANCE
IraFru2586,FRUIT,2025,FRANCE
IraFru2585,FRUIT,2025,FRANCE
IraFru2584,FRUIT,2025,FRANCE
IraAvi2583,VOLAIL,2025,FRANCE
IraPri2582,PRIX,2025,FRANCE
IraAbo2575,BOVIN,2025,FRANCE
IraAbo2576,CAPOV,2025,FRANCE
IraAbo2577,PORC,2025,FRANCE
IraLeg2580,LEGUME,2025,FRANCE
IraLeg2581,LEGUME,2025|2024,FRANCE
IraLeg2579,LEGUME,2025,FRANCE
IraPra2578,FOURRAGE,2025,FRANCE
IraGcu2574,GC,2025,FRANCE
IraFru2572,FRUIT,2025,FRANCE
IraLai2573,LAIT,2025,FRANCE
IraCex2569,COMEXT,2025,FRANCE
IraCpr2570,PRIX,2025,FRANCE
IraFru2571,FRUIT,2025,FRANCE
IraFru2568,FRUIT,2025,FRANCE
IraAvi2567,VOLAIL,2025,FRANCE
IraPri2566,PRIX,2025,FRANCE
IraFru2564,FRUIT,2025,FRANCE
IraLeg2563,LEGUME,2024|2025,FRANCE
IraPra2562,FOURRAGE,2025,FRANCE
IraAbo2559,BOVIN,2025,FRANCE
IraAbo2560,PORC,2025,FRANCE
IraAbo2561,CAPOV,2025,FRANCE
IraFru2558,FRUIT,2025,FRANCE
IraCex2555,COMEXT,2025,FRANCE
IraLai2556,LAIT,2025,FRANCE
IraCpr2554,PRIX,2025,FRANCE
IraFru2553,FRUIT,2025,FRANCE
IraFru2550,FRUIT,2025,FRANCE
IraFru2551,FRUIT,2024,FRANCE
IraPri2549,PRIX,2025,FRANCE
